Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
100,9,10,0,David - Kobayashi Maru: 0.5,Stephan: 0.5,DDDCDDDCDD,-34,-10,10,-3.4,-1.0,0,False,2,0,2,0,8,0,0,0,2,0,0,2,5,1
100,10,9,0,Stephan: 0.5,David - Kobayashi Maru: 0.5,DDDDDDDDDD,-24,10,10,-2.4,1.0,1,False,0,0,0,2,8,0,0,0,0,0,2,0,7,0
101,9,11,0,David - Kobayashi Maru: 0.5,Dan - Strategy: 0.5,DDDCDDDCDD,-34,-10,10,-3.4,-1.0,0,False,2,0,2,0,8,0,0,0,2,0,0,2,5,1
101,11,9,0,Dan - Strategy: 0.5,David - Kobayashi Maru: 0.5,DDDDDDDDDD,-24,10,10,-2.4,1.0,1,False,0,0,0,2,8,0,0,0,0,0,2,0,7,0
102,9,12,0,David - Kobayashi Maru: 0.5,Cardassian General: 0.5,DDDCDDDCDD,-25,5,10,-2.5,0.5,1,False,2,0,2,3,5,0,0,0,2,0,3,2,2,0
102,12,9,0,Cardassian General: 0.5,David - Kobayashi Maru: 0.5,CDDDCDDDCD,-30,-5,10,-3.0,-0.5,0,True,3,0,3,2,5,0,0,0,3,2,0,0,4,1
103,9,13,0,David - Kobayashi Maru: 0.5,Cardassian General: 0.5,DDDCDDDCDD,-18,15,10,-1.8,1.5,1,False,2,1,1,4,4,0,1,0,1,1,3,1,2,0
103,13,9,0,Cardassian General: 0.5,David - Kobayashi Maru: 0.5,CCCCDCDDDD,-33,-15,10,-3.3,-1.5,0,True,5,1,4,1,4,0,1,3,1,0,1,1,2,1
104,9,14,0,David - Kobayashi Maru: 0.5,Alessandro - Random: 0.5,DDDCDDDCDD,-2,40,10,-0.2,4.0,1,False,2,2,0,8,0,0,2,0,0,2,5,0,0,0
104,14,9,0,Alessandro - Random: 0.5,David - Kobayashi Maru: 0.5,CCCCCCCCCC,-42,-40,10,-4.2,-4.0,0,True,10,2,8,0,0,2,0,7,0,0,0,0,0,1
